notaword | No sentence found.
encadenar | Había un hombre sentado y encadenado a una silla en el centro de la habitación.
prisionero | Llegaban encadenados, prisioneros de guerra.
pretender | El hombre se echó hacia atrás y esbozó una sonrisa que Aron sabía que pretendía tranquilizarlo.
aprovechar | Solo una leyenda de la que esta bruja pretende aprovecharse.
cadáver | Viajero había bajado y se había agachado sobre el cadáver.
basar | En la base yacían los restos rotos de un cadáver con armadura, muerto siglos atrás.
alimentar | Algunos animales pequeños habían buscado alimento en el cadáver, pero ninguna bestia más grande.
guarnición | —Bueno, ya veremos, ¿no? Si no hay guarniciones malazanas como dice el hombre, entraremos sin más.
sacerdote | El sacerdote despidió a Anillo con un ademán.
satisfacer | La cara oscura y arrugada del sacerdote de Siete Ciudades estalló en una gran sonrisa satisfecha.
flecha | por qué no limitarse a derribarlos con flechas y cuadrillos
andanada | Una constante andanada de flechas en llamas volaba por los aires.
insecto | Cuadrillos de ballesta y flechas saltaron de la hierba como insectos rabiosos.
ja | —¡Ja! Sí que giran, ¿verdad? Bueno, pues se lo están tomando con mucha calma.
astuto | Las cejas de Noche treparon hasta la frente; el joven asintió con expresión astuta y satisfecha.
derrumbar | Cederá por ese lado y terminará derrumbándose todo.
fortaleza | Quizá hasta podría derrumbar una fortaleza entera…
sobrino | Debería enviar a su sobrino a buscar algo de pescado.
consciente | Los ojos de la mujer no lo reconocían, no eran conscientes de nada.
caída | Varios chillidos acompañaron la caída.
bocado | Rillish se resistió, luchó, jadeó y chilló a través del bocado.
culo | —Estábamos pensando que si hiciéramos eso, podría darse media vuelta y lanzarnos un bocado al culo.
pisotear | Y esa mujer cayó hacia delante, en el suelo pisoteado y quemado.
esconder | ¿Esconderse? Pero ¿con qué fin? Se limitarían a pisotearla.
jabalina | Nuestros barghastianos la rodearon y le clavaron por todas partes jabalinas y lanzas.
azuzar | Una andanada de jabalinas los azuzó.
vaina | El resto azuzó sus caballos colina arriba, las espadas destellaban al salir de las vainas.
basta | Basta decir que si quisiera matarla, ya estaría muerta.
rechazar | Toma esta moneda, le ofrecí, pero él rechazó mi mano.
empapar | Llegó secándose las manos, empapado hasta la cintura.
agotar | El hombre le sonrió con gesto agotado, el cabello gris empapado de sudor.
pasajero | Su pasajero se había derrumbado en la popa, empapado en espuma.
barcaza | —Puede que haya oído algo sobre una pasajera en una de las barcazas…
maniobrar | Los soldados y los remeros maniobraron su barcaza hasta la orilla y se levantó una tienda.
pasarela | Mientras caminaban por la pasarela, Arrojo maniobró para colocarse junto a Seda.
dirección | —El espadachín examinó el horizonte e inclinó la cabeza para indicar una dirección—.
mástil | En la cima del mástil principal, un marinero examinó el horizonte y señaló una dirección.
confianza | Los mellizos, a toda prisa y con grandes voces, juraron confianza.
factor | —Necesitaréis contar con el factor sorpresa —dijo una nueva voz desde no muy lejos.
misión | Entonces sabría también si ese hombre podría terminar siendo un factor en su misión… o no.
ofertar | —¿Rechazaron la oferta? —preguntó Ameron.
terror | El primer oficial genabackeño parecía incapaz de hablar de puro terror.
sufrir | Lurin miró al otro lado del patio y sufrió una sacudida de terror.
corriente | Una ligera estela de la corriente y de repente se encontró a Viajero a su lado.
perezoso | Flotaron río abajo, al este con la perezosa corriente.
gigantesco | Seda se fue abriendo camino entre las aguas perezosas hasta que tocó la gigantesca cabeza.
trozar | Trémula entrecerró los ojos, pero solo distinguió un trozo más oscuro contra la noche.
auténtico | Pero la puño Rheena asegura que es auténtica.
pavor | Observaba y escuchaba igual que él, con el rostro desgarrado entre el asombro y el pavor.
resolver | Cuando volviera, el misterio se resolvería.
dialecto | Pero el dialecto que utilizaban era difícil de entender.
bandera | Entre la masa de fuerzas de la orilla se alzaron y agitaron banderas de señales.
frenesí | Abajo se agitaban con frenesí banderas de señales entre los elementos de la Liga.
papel | —Permaneció sentado, frotando con los dedos el papel doblado.
aproximar | Lo rodearon a cierta distancia, hasta que uno se separó de los demás y se aproximó.
máscara | —Lo intentaré, pero no sé leer sus máscaras.
miedica | —Vaya, pero si es nuestro viejo amigo el sargento Miedica en persona.
palanquín | Esperaron mientras el palanquín se aproximaba.
calvo | El palanquín de Bala los seguía, guiado por el gigantesco, calvo y sudoroso dalhonesio.
rascar | Ho se rascó la calva y se encogió de hombros.
rojizo | El capitán Tonley se rascó la barba rojiza.
estocada | Con todo, el dalhonesio seguía lanzando estocadas y atacando.
rebotar | Pero todas las estocadas se deslizaban, rebotaban en la armadura oscura y manchada del juramentado.
aturdir | Una jabalina arrojada rebotó en su yelmo y lo aturdió por unos instantes.
esquivar | Aturdido, apenas fue capaz de esquivar el ataque del hombre.
implacable | Los soldados de Kan se abalanzaron y los juramentados los recibieron con estocadas rápidas e implacables.
recurso | La Guardia ya había perdido suficientes recursos en ese abismo implacable de Assail.
replicar | —Sería un desperdicio de recursos —replicó Choss, que agitó la copa con desdén.
asfixiar | El peso de la espada que tiraba de él a la izquierda amenazaba con asfixiarlo.
asiento | Quién podría llenar ese asiento frío, duro, peligroso, o quién se atrevería
costumbre | Te eligió a ti para hablarte, como es costumbre entre los juramentados caídos.
basura | Los soldados estaban arrodillados entre la basura, cargando y apuntando.
pulla | La Guardia salió remando del puerto acompañada por pullas distantes y la basura que les arrojaban.
sordo | Pero la joven bruja hizo oídos sordos a su pulla.
machacar | Los hombres gritaron y la madera se partió con un crujido lento y machacado.
mes | Sin embargo, se tardarían meses en machacarlos para convertir una fuerza así en un ejército.
elección | Una elección que quizá deberíamos agradecer.
tercero | —Inténtalo en la tercera compañía —sugirió Urfa.
mejor | —Los mejores asientos de la casa.
instar | —Prueba otra vez —instó alguien a Pizarra.
tapón | —¿El Tapón de Trapo, dice? Bueno, lo estaremos esperando.
jarro | Heuk levantó el jarro de barro y tomó un buen trago de su oscuro contenido.
charlar | Soldados, hombres y mujeres, iban y venían, riendo y charlando, muchos bebiendo de jarros de cuero.
encabezar | Los dos encabezaron la marcha de regreso, charlando en tono bajo y áspero.
diáspora | Qué había sido del hombre que había encabezado la primera compañía rumbo a la diáspora
balsa | En las balsas que la rodeaban, soldados talianos y aliados charlaban y reían.
contratar | Contratad todos los navíos azules que podáis.
compartir | Es solo que los talianos compartimos frontera con los setis.
loco | Noche llegó cuando se ponían en pie compartiendo sonrisas de loco—.
sobrevivir | Ese hombre estaba loco o solo resuelto a no sobrevivir al asedio
gélido | El agua gélida le dolió como si ardiera.
llegado | Atraparon a esos dos recién llegados.
saludo | —Saludos, recién llegados —dijo en taliano—.
odiar | La chamán los había odiado desde el principio.
atado | Kyle miró la espada que llevaba atada en la enorme vaina.
rasgar | Lleva las manos atadas a la espalda y tiene la ropa rasgada.
pantalón | Arrojo se inclinó hacia la herida y rasgó los pantalones para poder verla mejor.
invasor | Para él solo era otra raza más de invasores extranjeros.
considerar | En el continente muchos consideran a los malazanos invasores, igual que tú
poseer | No sabes acaso que Noche Ancestral, Kurald Galain, posee a sus hijos, los tiste andii
comentario | —A Kyle el comentario lo dejó perplejo, pero se inclinó de todos modos—.
estupendo | —¡Ah! ¡Estupendo! Todo el mundo se alegrará de oírlo.
garantizar | Permaneced con él y seguid sus órdenes y os garantizo que vuestras filas aguantarán.
impresionar | El vestido, la carreta y la escolta son solo para impresionar, nada más.
portar | Cuanto más se aproximaban los jinetes, tenía que admitir que más la impresionaba su porte.
gata | —No, yo solo era un sanador de Gato cuando nos invadieron los malazanos.
valer | Así que, como has visto, en realidad no valgo como mago de batalla.
vacilar | Se están invocando fuerzas que harían vacilar incluso a Ryllandaras.
tropezar | —No… —Aunque parecía flotar, fue como si Ammanas tropezara de repente y vaciló—.
antiguo | Tantos antiguos tenientes y compañeros.
guardaespaldas | Dos de los antiguos guardaespaldas de Dassem aquí, entre nosotros, ahora
poca | Pero recordaría su nombre, pocas veces había estado tan cerca de que lo vencieran.
nervio | —Pero ¿quieres dejarlo de una buena vez? Estás poniendo a todos de los nervios.
traidor | Tratar con traidores siempre lo ponía de los nervios.
duelo | Pero Cogulla se había enfrentado en duelo a Danzante en sus tiempos.
acento | —Bienvenidos a todos —dijo en taliano con un marcado acento—.
rodaballo | Uno de los soldados de su pelotón, Rodaballo (¿se llamaba así?) lo llamó y señaló aterrado al oeste.
advertencia | —¡El cabo Miedica, ese! —bramó Rodaballo levantando el dedo a modo de advertencia.
desconocer | La cara del desconocido le tapó el cielo.
medir | —Piense en ello como una medida de la importancia que tiene usted para nuestro comandante.
objeción | A medida que el tiempo pasaba, un muro de objeciones se fue alzando en su mente.
desierto | —Odio los desiertos —dijo Fochas.
historia | —Tú también viste las historias al subir, ¿eh? Buena elección.
fino | Una sonrisa levantó sus finos labios y lo invitó con un gesto a las llanuras vacías.
raer | Pantalones de tela raída y cuero fino desgarrado.
plagar | Madera rota y trozos raídos de tela plagaban la playa.
arcillar | Todo lo que habíamos soportado… —Frunció el ceño y estudió la pipa de arcilla blanca—.
construir | Sin embargo, tenía muchas otras funciones para los que lo construyeron.
hallar | Viajo al sur para hallar algún lugar en el que construir un barco.
complacer | Pese a que estaba claro que no se hallaba en absoluto complacido, Acecho asintió.
realizar | —Quizá todavía haya que realizar un pago…
planear | —No planeaba realizar ninguna marcha.
generación | Ella era la tercera generación oculta de la antigua familia Tayliin.
afirmar | Afirmaba que llevaba generaciones enteras en su familia.
rezar | Hace generaciones que mantenemos la esperanza y rezamos, y ahora ha regresado a nosotros.
sigilar | El tipo afirmó que el sigilo que portan es importante.
milímetro | Abajo había más gatos abriéndose paso milímetro a milímetro hasta las murallas.
desdeñoso | —Qué más da una dirección que otra —dijo Fochas con un ademán desdeñoso.
habitual | La sonrisa de Risueño recuperó su habitual gesto desdeñoso.
lista | Ante ellos, los hombres se agazapaban y se inclinaban tras las columnas con las ballestas listas.
bloquear | Listas para el bloqueo.
capturar | Capturado en un barco que intentaba romper el bloqueo.
bendecir | ¿Encontrarlo? Señora bendita, ¡van a ir a por él de verdad! Bueno, para eso vinieron.
jirón | Al acercarse vieron fuegos ardiendo entre las tiendas, muchas colgaban retorcidas y ladeadas, algunas hechas jirones.
silencioso | Sus cejas blancas se alzaron en silencioso comentario.
pronunciar | La mujer se quedó paralizada y pronunció una maldición silenciosa.
pendiente | Una pendiente de roca irregular y desnuda llevaba a la orilla silenciosa.
resbaladizo | Juntos cayeron rodando por la resbaladiza pendiente de barro y se precipitaron al agua.
invisible | Algo invisible hizo tropezar a Kyle, que cayó dando vueltas y deslizándose por la roca resbaladiza.
espectáculo | —Lo reconozco, los malazanos montáis mejores espectáculos de lo que nosotros lo hicimos jamás.
estremecimiento | Ghelel luchó por contener un estremecimiento, de miedo o asco, no lo sabía.
rey | El rey supremo se puso pálido y se apartó con un estremecimiento—.
actuar | —Huye ahora, rey supremo, o actuaré.
tranquilo | Resolvió actuar tan pronto como se presentara una noche tranquila.
reunión | Parecía ser el punto de reunión acordado.
burlar | —Esta no es una de vuestras reuniones del consejo, hombre de ciudad —se burló la niña—.
resplandeciente | Bala siguió abanicándose la cara resplandeciente y sudorosa mientras Ullen respondía a todos y cada uno.
cazar | Temían que la Guardia intentase darles caza
solicitar | —Solicito unirme a vuestra partida.
perra | ¡Eso es! Los Perros de la Pradera.
quienquiera | bendito fuera ese mago, quienquiera que fuese
reflexionar | Los Mellizos les sonrieron, quienesquiera que sean, reflexionó Hesalt.
situación | Reflexionaré sobre esa nueva luz que traes a la situación.
servicio | Quienquiera que fuera aquel hombre, había visto muchos años de duro servicio.
paciencia | Ghelel no estaba de humor para compartir la paciencia del marqués.
prometer | Os pido algo más de paciencia y os prometo una cosa, muchos más hombres se acercan.
fracasar | Si fracasas esta vez, no vivirás para prometer nada más.
capital | La caída de Laseen en Malaz capital, un fracaso.
control | La capital está ahora bajo el control de una troica de familias nobles talianas.
chusma | —Coge a tu chusma y levanta el campamento, y te prometo que no os perseguiremos.
demorar | estaba ese hombre demorándose mientras su chusma terminaba de rodearlos
cascar | —El casco gimió a su alrededor.
reacción | Su primera reacción fue volverse hacia V’thell, que asentía con el casco.
nordeste | Choss solicita que usted tome el flanco nordeste.
dominar | Toc estuvo a punto de echarse a reír, pero se dominó a tiempo.
trono | El trono le pareció entonces que se hallaba más cerca y que dominaba más superficie.
trampilla | El humo y el polvo salieron disparados por la trampilla abierta del tejado.
insistir | No iremos a atacar, ¿verdad? Es decir, ya tuvimos suerte una vez, no tiene sentido insistir.
vigilante | —El vigilante Durmis insistió en este intercambio de información.
ventaja | Podrían haberlos aplastado si hubieran aprovechado la ventaja que tenían.
mecer | Los dos habían perdido toda ventaja y se mecían como si carecieran de timón.
espuela | Kyle hubiera jurado que había sentido mecerse la Espuela.
huevo | El regular hizo un saludo militar y meció la cabeza calva de huevo.
vagar | Sintió una especie de irritación vaga, pero ya no estaba seguro de por qué.
sorprendente | Sus sorprendentes ojos dorados expresaban algo parecido al asombro cuando su mirada vagaba entre ellos.
horror | Había oído historias de horrores parecidos… Pero jamás habría creído…
incredulidad | Shell los miró, los ojos revelaban su absoluta incredulidad y horror.
confirmar | Un bufido confirmó la incredulidad del muchacho.
noticia | La mujer solo andaba a la caza de noticias de la emperatriz.
jefe | Nevall Od’Orr, factor jefe de Cawn
bandido | El jefe de los bandidos se dio una palmada en el muslo.
bando | Quedaban tan pocos en ambos bandos.
náufrago | —¿Crees que se rendirán? —se estremeció el náufrago, que tomaba grandes bocanadas de aire.
apropiar | —Con el debido respeto, un wickano sería más apropiado, conocería mejor el terreno…
asolar | Muchos decían que incluso habrían resistido contra los ejércitos de Kellanved, que habían asolado continentes enteros.
negociar | —Entonces tienes una cosa que aprender si quieres seguir con vida en este negocio.
disculpa | —Mis disculpas, preboste —dijo la voz del marqués—, pero han llegado noticias.
tablón | La tienda poseía un suelo de tablones.
levar | Ghelel empezaba a distinguir leves haces de luz que se colaban entre los tablones.
dañar | Hojalatero se acercó con las manos abiertas para demostrar que no pretendía hacer ningún daño.
investigación | —Es posible que el sujeto no sobreviva a la investigación.
rubio | Seda sacudía la cabeza y agitaba el fino cabello rubio.
valiente | Por Trake, esperaba que pudieran oírlo suficientes hombres y mujeres, tan valientes como locos, para seguirlo.
cabrón | Maldita sea, son unos cabrones muy valientes
pobre | —¡Mirad ahí! Un pobre cabrón al que guió hasta aquí para que se muriese.
asquear | Mareado y asqueado, Kyle se apoyó en un muro frío y resbaladizo.
volcar | Mientras Zarigüeya observaba, asqueado, el hombre volcó el jarro sobre su cabeza.
jadeo | El sobrino tragó saliva para calmar sus jadeos.
profundizar | Deberían continuar profundizando en esta investigación
farol | Con una mueca se protegió los ojos de la luz brillante del farol.
fulgor | El fulgor de fuegos y faroles iluminó la noche algo más adelante.
lengua | Un fulgor se abrió camino como una lengua entre las gruesas maderas de la trampilla.
palpar | El hombre se palpó la boca con la lengua y después se sacó un diente ensangrentado.
escalonar | Kyle palpó los escalones y sacó la mano seca como el polvo.
circular | El túnel se abría a una cámara circular tallada en la misma roca que los escalones.
amarillo | Al sur, el fulgor verde y amarillo de la magia de batalla era obvio.
sino | No, no eran estrellas, sino luces amarillas que parpadeaban, antorchas.
acariciar | El hombre acarició una saquita que le colgaba del cuello, una costumbre que tenía cuando pensaba.
herido | Los jinetes se arrojaron de sus monturas y corrieron hacia los heridos.
atestar | Yacía en una habitación atestada de muchos otros heridos.
mesa | —Se puso a gatas entre las atestadas mesas—.
secretar | —Eso es porque yo prefería que siguiera siendo un secreto.
escaso | Andamos escasos de magos, no es ningún secreto, así que os vais de caza.
pánico | Hesalt retrocedió, tenía un nudo en la garganta de puro pánico.
endurecer | Unos cuantos mercenarios continuaban en cubierta, los rostros endurecidos una vez pasado el pánico.
apostar | —Estoy dispuesto a apostar que esto no lo quemaron.
lección | Aquí hay una lección para cualquiera que se moleste en reflexionar sobre ella.
frecuencia | Aunque llegaban con mucha menos frecuencia, quizá ya habían aprendido la lección.
traicionar | No vio gestos en la joven que traicionaran que fuera consciente de su presencia.
templar | Se abrieron camino por los pasillos del templo de la ciudad.
estrangular | El hombre-chacal, la maldición de Quon, el hermano de Treach, estrangulado por un simple hombre
corazón | Pero tras un rato, el corazón en un frenesí, no pasó nada.
triunfar | Así que ella triunfó donde todos los demás habían fracasado.
cuestión | Solo era cuestión de adónde iban a apuntar.
azotar | Una espuma gélida azotó la cara de Ho.
ladera | El caos invadía las laderas en sombras cubiertas de hierba alta azotada por el viento.
divertido | Una vez más esa mirada divertida y astuta.
pulgar | Sonrió ante un pensamiento divertido repentino y se rascó la barbilla con el pulgar.
tripulación | La tripulación observó, divertida, al náufrago que se abría camino con esfuerzo hasta la popa.
cerner | El guardaespaldas se cernió sobre ellos.
hoguera | El oficial contempló lo que parecía una gran hoguera en ciernes.
rama | Las ramas del árbol se estaban moviendo.
ávido | La boca de Yath lucía una sonrisa de triunfo ávido.
espiral | Una masa de insectos se alzó de ella como una espiral y se dispersó.
montón | —Por los huesos del Embozado, solo son un montón de cartas.
trasto | Hay montones de balsas y trastos por allí.
desvanecer | La visión se apaga, el recuerdo se desvanece.
provincia | Quiero que la provincia de Unta vuelva a estar bajo nuestro control.
alistar | Y sigue creciendo, cada día que pasa se alistan más.
fiero | El anciano se limitaba a esbozar su fiera sonrisa de batalla, mostrando los dientes.
cansar | —Escúchalo —dijo Cotillion con tono cansado.
alternativo | —No tenemos alternativa —contestó K’azz con tono cansado.
resistencia | La alternativa… ¡Dioses! No era de extrañar que no hubiera habido resistencia, podías entrar cuando quisieras.
lealtad | Qué fácil conseguir su huida y garantizar su lealtad.
duquesa | Juramos lealtad eterna y servicio a nuestro duque mientras viviéramos y el Imperio permaneciera en pie.
recuerdo | Pero envía su lealtad continuada y recuerdos.
paliza | ¡Ah, estupendo! Les darían una paliza.
probablemente | Seguro que había crecido a base de palizas, de su padre, probablemente.
probable | Es probable que sigan librando su duelo.
bahía | En la bahía, las proas de los barcos habían girado hacia la orilla.
adivinar | Tenía la cara tan cerca (¡esos ojos!) que Kital adivinó el nombre y lo pronunció sin ruido.
necesidad | No vimos necesidad de despertaros.
atamán | Los atamanes hablaron todos a la vez para desechar cualquier necesidad de disculpa.
averiguar | ¿Cuántos podía haber? Toc y los atamanes tendrían los recursos para averiguarlo.
vital | De lo poco que tenemos hay una necesidad vital para alimentarnos nosotros y nuestros hijos.
formación | Los escaramuzadores de Laseen no estaban esperando a que sus unidades pesadas completaran la formación.
cerrado | —Formación cerrada aquí para forzar la retirada.
inspirar | Los guerreros que inspiraban semejante pavor no eran ningunos idiotas, como era obvio.
pegar | Tenía el largo cabello rubio pegado a la cabeza, empapado de sudor.
perímetro | —Menor, organiza un perímetro de hombres alrededor de la carreta.
silbido | El amanecer trajo un silbido y una llamada de los guardias del perímetro.
circunstancia | Pero, dadas las circunstancias, esa vez pensaba hacer las cosas a su manera.
extremar | —Digamos que primero dejé el servicio imperial en circunstancias extremas.
antebrazo | El demonio se sujetó el extremo del antebrazo.
largo | Acecho se incorporó y se sentó, después se envolvió las rodillas plegadas con los largos antebrazos.
musculoso | Le colgaban los brazos a los lados, largos, gruesos y musculosos.
tenue | La tenue tela cayó todavía más y reveló unos hombros pálidos y musculosos—.
colgadura | —Groten —llamó Bala a través de las tenues colgaduras blancas de tela—, permíteles acercarse.
internar | La joven apartó las colgaduras internas.
conversación | Tras un rato, Laseen asintió para sí como si hubiera puesto fin a una conversación interna.
sellar | —¿Recuerdas nuestra conversación de hace unos días? Partimos para sellar nuestro acuerdo con el trono.
cuerdo | —Cortó la cuerda que sellaba la bolsa—.
arsenal | Todo ello sellado con la marca del Arsenal Imperial.
robar | Dicen que en Unta debieron de intentar robar el Arsenal Imperial.
agujerar | El hombre la instó a atravesar aquel agujero dentado.
engañar | —No sé quién es esta pobre anciana engañada, caudillo.
acceder | Banath solo podía mirarla, confuso, pero accedió.
malicioso | Una pequeña sonrisa maliciosa tiró de los labios del duque.
debajo | Con una sonrisa maliciosa, Taya encogió las piernas debajo del cuerpo.
fresco | El sudor le corría por debajo del yelmo aunque el día era fresco.
directamente | Está formando otro portal, y esta vez lleva directamente a Quon.
desembarcar | A la mañana siguiente, en Desembarco de Canton, marcaron los árboles para el barco.
tartamudear | Tartamudeó algo (maldiciones probablemente) cuando bajaron su asiento a la cubierta.
consejero | —Es… —tartamudeó el consejero del puerto con la voz muy débil—, es…
arquero | Los talianos formaron filas de arqueros enfrente de la puerta mientras otros luchaban por cerrarla.
ballestero | Los que llevaban los escudos avanzaban cubriendo a sus arqueros o ballesteros.
aporrear | Los cascos aporreaban la línea de árboles, gritos para llamar a los ballesteros.
furia | Noche no respondió, seguía aporreando con furia la tierra seca.
humano | No es una hoja destinada a ningún humano, poco importa quién sea.
entidad | —Algunas entidades… —Mallick estiró la mano como si quisiera estrangular al anciano.
exir | —¡A Avore lo han borrado del mapa! Ya no existe tal entidad.
asentamiento | Suponía que llevaba demasiado tiempo alejado de cualquier asentamiento humano.
nudillo | Unos nudillos le golpearon el codo y un cuchillo largo salió volando de sus dedos entumecidos.
añicos | Añicos observó las llamas durante un rato, suspiró e hizo crujir los nudillos.
costra | Urko Costra, comandante de las fuerzas de Falar, de la vieja guardia, también conocido como Añicos
culto | Tú y tu culto perseguís vuestros propios intereses, no los míos.
local | Borraron del mapa a todos los demás cultos locales
reclutar | —¿Eres un recluta local? —preguntó el hombre.
incómodo | En las alturas, sobre ellos, los magistrados intercambiaron miradas incómodas.
ardiente | El puño del mago que lo sujetaba era incómodo y ardiente.
rayo | La rabia cruzó como un rayo ardiente la visión de Zarigüeya.
remediar | Vamos, teniente, desperdicie su vida si no le queda más remedio, pero piense en sus hombres.
próximo | —En el futuro próximo, en pocas palabras… sí.
permiso | —Le agradeceré que pida permiso para entrar la próxima vez.
detallar | —Los detalles habrá que negociarlos en un tratado, por supuesto.
lágrima | Kyle sintió las lágrimas calientes en las mejillas.
prestar | Las lágrimas les corrían por las mejillas sin que les prestaran ninguna atención.
arar | El Aro estaba demasiado concentrado en su ritual para prestarle atención alguna.
ralentizar | —¡Maestro del Aro! Ralentízalos.
acuchillar | Eso la ralentizó un poco más todavía y pude acuchillarle la cabeza unas cuantas veces.
romo | Cogió un puñado de ramas y las rompió con las manos, anchas y romas.
someter | Lo asaltó el ruido de un campamento atestado y sometido a un asedio.
tradición | Pero ahora, nuestra tradición ha vuelto a nosotros.
paso | El juramentado se había acercado unos seis pasos.
mínimo | En nuestra defensa, debo advertirle que costará mucho separarnos de lo mínimo.
pastor | Pastor hizo una mueca, como si se acabara de dar cuenta.
humana | Trell: pueblo nómada de pastores, no humanos
primo | Algunos podrían llamarlos mis primos, primos lejanos.
esfuerzo | Los tres primos se irguieron y abandonaron sus esfuerzos.
